VOTED,SEX,RACE,EDUC,EMPSTAT,NATIVITY,REGION,METRO,MARST,DIFFMOB,AGE,NCHILD,INCOME_PER_PERSON
voted,female,white,master_higher,employed,foreign_born,midwest,metropolitan,has_spouse,no_mobility_limitation,53,0,75000.0
voted,male,white,hs_grad,retired,native_born,midwest,metropolitan,has_spouse,no_mobility_limitation,78,0,22500.0
voted,female,white,master_higher,retired,native_born,west,metropolitan,no_spouse,no_mobility_limitation,73,0,67500.0
voted,female,white,college_grad,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,53,0,62500.0
voted,male,white,hs_grad,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,53,0,62500.0
voted,male,white,hs_grad,employed,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,73,0,43750.0
voted,female,white,hs_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,63,0,43750.0
not_voted,female,white,college_grad,not_in_labor_force,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,38,2,21875.0
not_voted,male,white,hs_grad,employed,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,38,2,21875.0
voted,female,white,hs_grad,retired,native_born,west,not_metropolitan,no_spouse,mobility_limitation,83,0,67500.0
voted,female,white,hs_grad,not_in_labor_force,native_born,west,metropolitan,no_spouse,no_mobility_limitation,58,1,10833.333333333334
not_voted,male,white,hs_grad,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,33,1,10833.333333333334
not_voted,male,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,68,0,125000.0
voted,male,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,78,0,43750.0
not_voted,female,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,mobility_limitation,78,0,43750.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,38,1,75000.0
voted,female,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,38,2,37500.0
voted,male,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,43,2,37500.0
voted,male,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,78,0,22500.0
voted,female,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,73,0,22500.0
voted,male,white,college_grad,retired,native_born,south,metropolitan,no_spouse,no_mobility_limitation,68,0,67500.0
voted,male,white,hs_grad,retired,native_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,73,0,32500.0
not_voted,male,white,hs_grad,employed,native_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,28,2,11250.0
not_voted,female,white,hs_grad,not_in_labor_force,native_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,23,2,11250.0
voted,female,white,college_grad,employed,native_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,38,0,125000.0
voted,female,white,hs_grad,retired,native_born,northeast,not_metropolitan,has_spouse,no_mobility_limitation,73,1,22500.0
voted,male,white,college_grad,retired,native_born,northeast,not_metropolitan,has_spouse,no_mobility_limitation,73,1,22500.0
voted,male,white,hs_grad,not_in_labor_force,native_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,33,0,22500.0
